,index,sensor_id,latitude,longitude,radius,wheelchair_yes,wheelchair_limited,wheelchair_no
0,0,773869,34.15497,-118.31829,500.0,0.0,0.0,0.0
1,1,767541,34.11621,-118.23799,500.0,1.0,0.0,0.0
2,2,767542,34.11641,-118.23819,500.0,1.0,0.0,0.0
3,3,717447,34.07248,-118.26772,500.0,0.0,0.0,0.0
4,4,717446,34.07142,-118.26572,500.0,0.0,0.0,0.0
5,5,717445,34.06913,-118.25932,500.0,0.0,0.0,0.0
6,6,773062,34.05368,-118.23369,500.0,39.0,0.0,1.0
7,7,767620,34.13486,-118.22932,500.0,0.0,0.0,0.0
8,8,737529,34.20264,-118.47352,500.0,0.0,0.0,0.0
9,9,717816,34.15562,-118.4686,500.0,0.0,0.0,0.0
10,10,765604,34.16415,-118.38223,500.0,0.0,0.0,0.0
11,11,767471,34.15691,-118.22469,500.0,0.0,0.0,0.0
12,12,716339,34.07821,-118.28795,500.0,0.0,0.0,0.0
13,13,773906,34.1566,-118.30266,500.0,1.0,0.0,0.0
14,14,765273,34.18949,-118.47437,500.0,7.0,0.0,0.0
15,15,716331,34.07006,-118.26246,500.0,0.0,0.0,0.0
16,16,771667,34.07314,-118.23388,500.0,0.0,0.0,1.0
17,17,716337,34.07732,-118.28186,500.0,0.0,0.0,0.0
18,18,769953,34.20672,-118.19992,500.0,1.0,0.0,0.0
19,19,769402,34.12095,-118.33911,500.0,0.0,0.0,0.0
20,20,769403,34.12073,-118.33928,500.0,0.0,0.0,0.0
21,21,769819,34.20584,-118.19803,500.0,1.0,0.0,0.0
22,22,769405,34.12634,-118.34482,500.0,0.0,0.0,0.0
23,23,716941,34.05767,-118.21435,500.0,0.0,0.0,0.0
24,24,717578,34.15478,-118.27076,500.0,0.0,0.0,0.0
25,25,716960,34.12121,-118.27164,500.0,1.0,0.0,0.0
26,26,717804,34.09478,-118.47605,500.0,0.0,0.0,0.0
27,27,767572,34.12967,-118.22871,500.0,0.0,0.0,0.0
28,28,767573,34.12964,-118.22901,500.0,0.0,0.0,0.0
29,29,773012,34.0839,-118.22086,500.0,0.0,0.0,0.0
30,30,773013,34.08374,-118.22076,500.0,0.0,0.0,0.0
31,31,764424,34.17878,-118.39469,500.0,0.0,0.0,0.0
32,32,769388,34.11027,-118.33441,500.0,0.0,0.0,0.0
33,33,716328,34.06664,-118.25397,500.0,0.0,0.0,0.0
34,34,717819,34.18784,-118.47407,500.0,7.0,0.0,0.0
35,35,769941,34.20699,-118.20237,500.0,1.0,0.0,0.0
36,36,760987,34.15359,-118.34043,500.0,1.0,0.0,0.0
37,37,718204,34.15541,-118.29575,500.0,2.0,0.0,1.0
38,38,718045,34.06712,-118.23973,500.0,0.0,0.0,0.0
39,39,769418,34.12659,-118.34465,500.0,0.0,0.0,0.0
40,40,768066,34.15118,-118.3748,500.0,0.0,0.0,0.0
41,41,772140,34.16498,-118.47493,500.0,0.0,0.0,0.0
42,42,773927,34.15262,-118.28034,500.0,0.0,0.0,0.0
43,43,760024,34.1593,-118.46483,500.0,0.0,0.0,0.0
44,44,774012,34.14769,-118.20137,500.0,0.0,0.0,0.0
45,45,774011,34.14747,-118.20123,500.0,0.0,0.0,0.0
46,46,767609,34.18555,-118.21733,500.0,9.0,0.0,0.0
47,47,769359,34.1566,-118.42216,500.0,0.0,0.0,0.0
48,48,760650,34.07505,-118.23256,500.0,0.0,0.0,1.0
49,49,716956,34.10658,-118.25544,500.0,5.0,0.0,1.0
50,50,769831,34.20663,-118.20101,500.0,1.0,0.0,0.0
51,51,761604,34.15407,-118.28711,500.0,0.0,0.0,0.0
52,52,717495,34.15664,-118.41326,500.0,2.0,0.0,0.0
53,53,716554,34.15597,-118.2666,500.0,1.0,0.0,0.0
54,54,773953,34.15522,-118.29344,500.0,2.0,0.0,1.0
55,55,767470,34.15699,-118.22436,500.0,0.0,0.0,0.0
56,56,716955,34.09579,-118.24427,500.0,0.0,0.0,0.0
57,57,764949,34.12881,-118.34684,500.0,0.0,0.0,0.0
58,58,773954,34.15544,-118.29344,500.0,2.0,0.0,1.0
59,59,767366,34.21216,-118.47341,500.0,0.0,0.0,0.0
60,60,769444,34.15555,-118.43908,500.0,14.0,0.0,0.0
61,61,773939,34.15297,-118.37226,500.0,0.0,0.0,0.0
62,62,774067,34.15362,-118.28441,500.0,0.0,0.0,0.0
63,63,769443,34.15574,-118.43931,500.0,14.0,0.0,0.0
64,64,767750,34.09335,-118.20635,500.0,0.0,0.0,0.0
65,65,767751,34.09335,-118.20616,500.0,0.0,0.0,0.0
66,66,767610,34.18555,-118.21766,500.0,9.0,0.0,0.0
67,67,773880,34.15367,-118.3484,500.0,7.0,0.0,0.0
68,68,764766,34.13338,-118.3535,500.0,4.0,0.0,0.0
69,69,717497,34.15685,-118.41456,500.0,2.0,0.0,0.0
70,70,717490,34.14745,-118.37124,500.0,0.0,0.0,0.0
71,71,717491,34.14761,-118.3711,500.0,0.0,0.0,0.0
72,72,717492,34.15459,-118.37935,500.0,0.0,0.0,0.0
